brand,extraInfo
1519 Tequila,2013
1800 Tequila,1975
4 Copas,
Avión tequila,
Casamigos,2013
Casa Dragones,2009
Casa Noble,1776
Chaya tequila,
Corralejo,
Corzo,
Cruz Tequila,2005
DeLeón Tequila,2008
Don Julio,1942
Dos Lunas Tequila,2006
El Tesoro tequila,1990
Espolon,1998
El Jimador,
Hacienda San José de Miravalle,"1870, defunct"
Herradura,1870s
Hornitos,1950
Jose Cuervo,1795
Kirkland Signature,
Lunazul,2002
Maestro Dobel Tequila,2008
Olmeca Tequila,1967
Patrón,1989
San José Tequila,
Santera Tequila,2015
Sauza Tequila,1873
Señor Río,2009
Sol de Mexico Tequila,1950s
Tequila 125,2008
Tres Agaves,2008
Tres Generaciones,1973
